,ARC_L,ARC_R,ATR_L,ATR_R,AntFrontal,CGC_L,CGC_R,CST_L,CST_R,IFO_L,IFO_R,ILF_L,ILF_R,Motor,Occipital,Orbital,PostParietal,SLF_L,SupFrontal,SupParietal,Temporal,UNC_L,UNC_R
100206,0.5197450316830892,0.4544479196555733,0.4468004827309754,0.43711691968622185,0.5703087698963248,0.49868793968819874,0.49026509799120255,0.5567169379603297,0.5543223658377275,0.5607861997727911,0.5390144056543499,0.5147949604335625,0.5153711912372013,0.5736726207363683,0.6545989911984474,0.5606831527834139,0.5807651095583176,0.525912044134302,0.5753437107645151,0.5911833169604738,0.590478453263754,0.4637277143695531,0.47288914263259707
100307,0.5342780087301631,0.43661386377118766,0.44617479742562816,0.4571758237383421,0.554367642784308,0.5436884333853931,0.5229091593390892,0.5575139384784812,0.5373740189264581,0.5458612183279198,0.5432251667540408,0.5085893760663257,0.5124520206499651,0.5683503117157475,0.6666705089935019,0.5148295352250246,0.5759218329949852,0.5002805006933925,0.5713360094209645,0.549689164769959,0.5700420437811748,0.4326459671560172,0.442562010715417
100408,0.5303530090348232,0.47336626840928636,0.4941893884933543,0.43949307701489254,0.5308662029974721,0.5433642159585444,0.4686831766419932,0.5237392348057334,0.5550396181812584,0.5604750710638684,0.518871477368588,0.537196069415948,0.49405509503371514,0.5438644271034199,0.6647461603094313,0.54060502696026,0.5894672604972698,0.4752401116608873,0.5407415763552756,0.5749083876123792,0.5813414102132552,0.44229954872611865,0.4487254945699934
100610,0.4754492175874999,0.45975809228615916,0.4645165278172976,0.4186318136089149,0.5185888289209282,0.489867066837709,0.4731392945393332,0.5371029977538992,0.5410218385225627,0.5572695577726892,0.5181590665518189,0.49164561244290594,0.4828673112702526,0.5312259881605162,0.6269881773234282,0.5251217671275957,0.5599028647227741,0.4550190727840782,0.5137380931678376,0.5463275453673336,0.5439940724440735,0.4430423503632956,0.43623720471512883
101006,0.48659246487514324,0.4346979193814646,0.48224851484772446,0.4199881017190373,0.5055755301996976,0.5259937643301091,0.477504475477505,0.5615667036890187,0.5294868726773606,0.5519587752051683,0.4970893835691219,0.48839165740364826,0.4821586380900518,0.5471860987377094,0.6218743842554084,0.4633652628447538,0.5676640389911857,0.44475943678574764,0.530845153490181,0.5574188821109198,0.540586737225635,0.40904980461691154,0.4075249660921523
101107,0.5451006476360437,0.42958937477241316,0.45352942899000986,0.4366597405585893,0.5479456078961401,0.5520532638785787,0.4738927785781412,0.5665334372040965,0.5414726823866887,0.5337189457679912,0.4948345686190159,0.5066621354972293,0.46576840928594193,0.567197259048806,0.6538446313454581,0.47687499931161975,0.6048998913213703,0.49574647929443655,0.553197429275894,0.5765420921740007,0.5788100687350649,0.4231446324627923,0.46136864325744065
101309,0.5318226086105138,0.4847270151307794,0.45098808557577125,0.46769895480619283,0.5754902851969405,0.5759896242431549,0.5176619901041986,0.5677528883619098,0.5753017197578617,0.5125743011330934,0.5326071482699324,0.4478881253068744,0.4972726150970507,0.5909916948242097,0.6469901502771083,0.519460582241081,0.5686740781054229,0.5125231164668798,0.585561027307897,0.5651006252327783,0.5776612782694683,0.4273836658397926,0.44850496403378876
101410,0.5087398670828367,0.4545648976425612,0.45700156984037527,0.42070165006074817,0.5207714596730709,0.5101711150598961,0.456024248387455,0.5431554377071399,0.533945352630691,0.5409010284745133,0.5093537891819164,0.4907152316402729,0.47691688896578094,0.5289493084002852,0.660650165459691,0.5098364467971702,0.5477895301137611,0.46521895159076726,0.522190653376766,0.5521148291823814,0.5560446230801565,0.4136261898565923,0.4261199971716275
101915,0.532854147068798,0.4809864431046129,0.47714281015820825,0.4351442073099178,0.5386716478057365,0.5055321645932692,0.46873261272493705,0.567250043122251,0.5734569447745791,0.5457263567362997,0.5257641641394102,0.5305741204353385,0.5171318624744989,0.581861928633126,0.6710381844165983,0.5220938088461007,0.5858297315169841,0.4886076407128011,0.5504000171700147,0.5829813559458241,0.5703985809856679,0.4131425645688489,0.4399761781243627
102008,0.5571454559253426,0.4885971454195846,0.4599879471027954,0.44592703437609166,0.575280141577904,0.5666148416900582,0.48107338704234087,0.5562539128912904,0.5389902557058002,0.5469571144774777,0.5430657710831106,0.5246835453840307,0.5158917163769419,0.5625434468417413,0.6521726395824209,0.5557371678998323,0.5635848193471152,0.5133179010522664,0.5694396130237308,0.5743989272937,0.5666129100124088,0.4531290866507572,0.4691103826835262
102109,0.5546739956714338,0.4895341014286268,0.4530276560308835,0.46593963269848504,0.5739477821839294,0.5790112110224633,0.5170655520947207,0.5356180776286675,0.5413623009896452,0.5147823828424938,0.5555854307908673,0.48386207208231397,0.5075732120601795,0.5724357406978011,0.6394796455713715,0.5624076592825451,0.5766142344721682,0.5349398076035738,0.5746115404726487,0.5732269536224538,0.5538897918091733,0.44180864066154546,0.44435674834667727
102311,0.5345150361281167,0.49602721271401956,0.4875898810264311,0.45235889464878504,0.5847630819393729,0.546531110105374,0.49606321783894936,0.5937965110789833,0.5647251021037549,0.5508013307865295,0.5314538734671186,0.5171600504070913,0.5207107110729564,0.5599792629121008,0.6876236491042603,0.548411756749998,0.6063235568657334,0.5027860362157672,0.5638740133787007,0.5835337662776263,0.6019344911451153,0.43762731981819525,0.4470786316874027
