,ARC_L,ARC_R,ATR_L,ATR_R,AntFrontal,CGC_L,CGC_R,CST_L,CST_R,IFO_L,IFO_R,ILF_L,ILF_R,Motor,Occipital,Orbital,PostParietal,SLF_L,SupFrontal,SupParietal,Temporal,UNC_L,UNC_R
100206,0.4213634422187028,0.3853493023478551,0.371061682183631,0.36989364550995923,0.4384028648868905,0.3977809253821372,0.4009812259869206,0.4105155802866808,0.42014676328599093,0.40061261515929275,0.391610579619796,0.37327595679290937,0.37485442994622425,0.4251516936146104,0.45398680082137105,0.40353432513379667,0.42352209636604043,0.4258325484715046,0.4295341817091055,0.428121066257799,0.4201589736930997,0.3410585725275834,0.34556564564984504
100307,0.4094828130679736,0.3639708784026695,0.35482229643380186,0.3587840678769062,0.39989741751830904,0.3933083662991529,0.37857639469423,0.4081255965196331,0.40769455398396354,0.38354328827891054,0.3773122131813133,0.3617617420222617,0.36499191571054224,0.38802688143133646,0.429284345991346,0.37079553630751844,0.4168884333683498,0.39646591812310683,0.3898564651468479,0.38832760562970536,0.39421162944291005,0.31304516328205545,0.31469566194087945
100408,0.4107232173887698,0.39169786117306904,0.3790968625997154,0.3594839478911559,0.39321228899462285,0.4057290315523778,0.3772176627733009,0.40755396352754614,0.4175762290583861,0.3951396577272096,0.36820089447633125,0.37628293266154905,0.362175326927903,0.3957604701895535,0.43655498022913547,0.38866432108407317,0.4168037994821486,0.3892162510934679,0.39475171090780925,0.39325309557355637,0.3938298860389621,0.33871919831238206,0.33725211744154976
100610,0.3781081182297148,0.37454274206262667,0.36131711490752755,0.35323986242897526,0.37899704661938444,0.35308493657474954,0.36298735229773926,0.4014876177996106,0.40250956842506974,0.3850403026843869,0.3596046871616341,0.35147521486626665,0.3481139701439742,0.38956754569997104,0.40701278075159186,0.38075871047802534,0.40074277527193175,0.36746633608318235,0.3804029328158641,0.3913490675440315,0.38270466688593024,0.3215206175384951,0.3242008871870085
101006,0.3781810137472686,0.36617530611592414,0.37324348812804475,0.3502385686773193,0.3642360635048907,0.38103678805675595,0.36950133025423393,0.41173232836325757,0.40580390552771256,0.38362464614835956,0.3585707474262004,0.34773830224774804,0.3493356684396858,0.389703023535182,0.39152683522313675,0.34919008819138403,0.38795454767057724,0.36563440338495484,0.3745837686935193,0.39009921518140467,0.36830413885563346,0.31966586927422647,0.3269421695261756
101107,0.4143211203781572,0.3652046656708054,0.36673178838999676,0.357282636454726,0.40644985760553765,0.4077686291125107,0.37396840203811016,0.41201719762045336,0.40270577555628934,0.37592345349723566,0.36867494488613045,0.3509359072650231,0.35278472374116937,0.4061418299163503,0.4159206044992579,0.37535090390493164,0.4168642463913219,0.3846945718125639,0.39830571109348045,0.4101077435555965,0.3838274359323478,0.31855082367370224,0.32650707669360257
101309,0.4204212515911838,0.4083112356140453,0.35738259515410953,0.3771169545704824,0.42955323790332395,0.41952580986194904,0.39441897767007356,0.4297529607205754,0.4217981425227692,0.3867058118705943,0.4016828401969792,0.35882726967531814,0.38566219761183645,0.4334724484573416,0.4507200248706819,0.4018686393093603,0.43774138619947245,0.41132179236150695,0.43178324512525923,0.42827168081184896,0.4095333122615642,0.3276228995211875,0.34629458906517874
101410,0.40054200760684283,0.3704607183235615,0.36088453411352284,0.342085277507328,0.3717850653642206,0.37023351691000816,0.36079263809604517,0.40157932816131103,0.4028175846101506,0.37542036652532856,0.36235405722163266,0.3473956629890139,0.34785660163998605,0.38157355420022016,0.41967502120274314,0.37752906653810775,0.38400261446901984,0.38184004252915427,0.377388313454765,0.38907954764255626,0.37374037009805344,0.31283896122133503,0.3223927641950683
101915,0.40361239605954324,0.38760166811386354,0.3626512501902579,0.35256658970665755,0.39017565822872613,0.374628475695045,0.3736374042950951,0.4064793320529991,0.4100361314339665,0.37459891475589546,0.36689817831646804,0.36269369260579404,0.3602287405444606,0.41285949116029047,0.426890366435565,0.3741895090488447,0.41437849714025654,0.38235104704159256,0.3937121724403186,0.40175925126318224,0.37235764232249197,0.3158674146812696,0.32038397944480596
102008,0.4277787318823346,0.39371050439726224,0.3752176849172732,0.36861546418924745,0.4080461753780834,0.41049624570975796,0.3829485889547006,0.41708271775266886,0.4143557819180826,0.38876609398823214,0.38441467259967643,0.3744637226448102,0.37506248801534176,0.40337082065519264,0.41072521788025285,0.41271476302625515,0.3882450929453952,0.3993872078472675,0.40804748570777555,0.4024053209381932,0.37746984186520643,0.33345961883354497,0.33707513285685337
